"PMN01","PMN011","PMN02","PMN03","PMN04","PMN041","PMN05","PMN06","PMN07","PMN08","PMN09","PMN10","PMN11","PMN121","PMN122","PMN123","PMN13","PMN14","PMN15","PMN16","PMN18","PMN20","PMN23","PMN24","PMN25","PMN30","PMN31","PMN31T","PMN32","PMN33","PMN34","PMN35","PMN36","PMN37","PMN38","PMN40","PMN41","PMN42","PMN43","PMN431","PMN44","PMN45","PMN46","PMN50","PMN51","PMN52","PMN53","PMN54","PMN55","PMN56","PMN57","PMN58","PMN59","PMN60","PMN61","PMN62","PMN63","PMN64","PMN65","PMN66","PMN67","PMN68","PMN69","PMN70","PMN71","PMN80","PMN81","PMN82","PMN83","PMN84","PMN85","PMN86","PMN87","PMN88","PMN88T","PMN930","PMN401","PMN90","PMN94","PMN95","PMN96","PMN97","PMN98","PMN91","PMNUD01","PMNUD02","PMNUD03","PMNUD04","PMNUD05","PMNUD06","PMNUD07","PMNUD08","PMNUD09","PMNUD10","PMNUD11","PMNUD12","PMNUD13","PMNUD14","PMNUD15","PMN89","PMN72","PMN73","PMN74","PMN75","PMN76","PMN77","PMNPLANT","PMNLEGAL","PMN012","PMN919","PMN99","PMN78","PMN100"
"PN01-17090050","REG","1","","MISC","开模费","","","PCS","PCS","1.00000000","","N","1.00000000","PC0060","","10.0000","Y","Y","8","","1.000","","","","0.000000","1794.871800","2100.000000","","17/12/01","17/12/01","17/12/01","17/09/29","","Y","500102","","0","","","1794.871800","","","0.000","0.000","K001","0.000"," ","0.000"," ","-1.000","0.000","","","8013-0176","1.0000","N","N","1","","","","","","","","","","","","","PCS","1.000","1794.870000","2100.000000","","","0.000000","","","0060-01","","2125","","","","PN02-17040078","","","","3.940000","4610.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN04-17090001","REG","1","","8008-0504","CLSP面板（委外处理后）"," ","","PCS","PCS","1.00000000","","N","1.00000000","PC0063","","10.0000","Y","Y","8","","6.000","","","","0.000000","244.444444","286.000000","","17/10/17","17/10/17","17/10/17","17/09/29","","N","500102","1","0","","","244.444444","","","0.000","0.000","K001","0.000"," ","0.000"," ","-6.000","0.000"," ","0","8008-0504","1.0000","N","N","1","",""," ","","","","","","","","","","PCS","6.000","1466.670000","1716.000000","","","0.000000","","","0063-01"," ","2115","","","PN02-17040017","","","","","244.450000","286.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN01-17090058","REG","1","","8015-0259","Switch Card","","","PCS","PCS","1.00000000","","N","1.00000000","PC0060","","10.0000","Y","Y","8","","1.000","","","","0.000000","248.119658","290.300000","","17/10/20","17/10/20","17/10/20","17/09/29","","Y","500102","","0","","","248.119658","","","0.000","0.000","K001","0.000"," ","0.000"," ","-1.000","0.000","","","8015-0259","1.0000","N","N","1","","","","","","","","","","","","","PCS","1.000","248.120000","290.300000","","","0.000000","","","0060-01"," ","2102","","","","PN02-17080048","","","","296.000000","346.320000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN01-17090063","REG","1","","8005-0011","变压器(16V 10W)带22AWG白色线缆","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","200.000","","","","0.000000","10.940171","12.800000","","17/12/29","17/12/29","17/12/29","17/09/29","","N","500102","MG02-16040002","0","","","10.940171","","","0.000","0.000","K001","0.000"," ","0.000"," ","-200.000","0.000","","","8005-0011","1.0000","N","N","1","","","","","","","","","","","","","PCS","200.000","2188.030000","2560.000000","","","0.000000","","","9949-01"," ","2106","","","PN04-16110094","","","","","12.000000","14.040000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN01-17090066","REG","1","","8008-0625","BTE 1U面板","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","10.0000","Y","Y","8","","1.000","","","","0.000000","68.376068","80.000000","","17/10/20","17/10/20","17/10/20","17/09/29","","Y","500102","","0","","","68.376068","","","0.000","0.000","K001","0.000"," ","0.000"," ","-1.000","0.000","","","8008-0625","1.0000","N","N","1","","","","","","","","","","","","","PCS","1.000","68.380000","80.000000","","","0.000000","","","9949-01"," ","2114","","","","PN02-17090022","","","","73.000000","85.410000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN01-17090066","REG","2","","8008-0574","BTE机柜","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","10.0000","Y","Y","8","","2.000","","","","0.000000","4517.094017","5285.000000","","17/10/20","17/10/20","17/10/20","17/09/29","","Y","500102","","0","","","4517.094017","","","0.000","0.000","K001","0.000"," ","0.000"," ","-2.000","0.000","","","8008-0574","1.0000","N","N","1","","","","","","","","","","","","","PCS","2.000","9034.190000","10570.000000","","","0.000000","","","9949-01"," ","2114","","","","PN02-16120095","","","","4700.000000","5499.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN01-17090066","REG","3","","8008-0580","Simulator 8U 面板","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","10.0000","Y","Y","8","","2.000","","","","0.000000","42.735043","50.000000","","17/10/20","17/10/20","17/10/20","17/09/29","","Y","500102","","0","","","42.735043","","","0.000","0.000","K001","0.000"," ","0.000"," ","-2.000","0.000","","","8008-0580","1.0000","N","N","1","","","","","","","","","","","","","PCS","2.000","85.470000","100.000000","","","0.000000","","","9949-01"," ","2114","","","","PN02-16120095","","","","44.000000","51.480000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN01-17090066","REG","4","","8008-0579","Simulator 7U 面板","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","10.0000","Y","Y","8","","2.000","","","","0.000000","38.461538","45.000000","","17/10/20","17/10/20","17/10/20","17/09/29","","Y","500102","","0","","","38.461538","","","0.000","0.000","K001","0.000"," ","0.000"," ","-2.000","0.000","","","8008-0579","1.0000","N","N","1","","","","","","","","","","","","","PCS","2.000","76.920000","90.000000","","","0.000000","","","9949-01"," ","2114","","","","PN02-16120095","","","","40.000000","46.800000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN01-17090066","REG","5","","8008-0581","BTE 2U 面板","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","10.0000","Y","Y","8","","2.000","","","","0.000000","25.641026","30.000000","","17/10/20","17/10/20","17/10/20","17/09/29","","Y","500102","","0","","","25.641026","","","0.000","0.000","K001","0.000"," ","0.000"," ","-2.000","0.000","","","8008-0581","1.0000","N","N","1","","","","","","","","","","","","","PCS","2.000","51.280000","60.000000","","","0.000000","","","9949-01"," ","2114","","","","PN02-16120095","","","","27.000000","31.590000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN01-17090066","REG","6","","8008-0578","Simulator 1U 面板","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","10.0000","Y","Y","8","","4.000","","","","0.000000","17.094017","20.000000","","17/10/20","17/10/20","17/10/20","17/09/29","","Y","500102","","0","","","17.094017","","","0.000","0.000","K001","0.000"," ","0.000"," ","-4.000","0.000","","","8008-0578","1.0000","N","N","1","","","","","","","","","","","","","PCS","4.000","68.380000","80.000000","","","0.000000","","","9949-01"," ","2114","","","","PN02-16120095","","","","19.000000","22.230000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
