"XRENENT","XRENDOCNO","XRENSEQ","XREN001","XREN002","XREN003","XREN004","XREN005","XREN006","XREN007","XREN008","XREN009","XREN010","XREN011","XREN012","XREN013","XREN014","XREN015","XREN016","XREN017","XREN018","XREN019","XRENORGA","XREN020","XREN021","XREN022","XREN023","XREN024","XREN025","XREN026","XREN027","XREN028","XREN029","XREN030","XREN031","XREN032","XREN033","XREN040","XREN041","XREN042","XREN043","XREN100","XREN101","XREN103","XREN104","XREN105","XREN113","XREN114","XREN115","XREN121","XREN123","XREN124","XREN125","XREN131","XREN133","XREN134","XREN135","XRENUD001","XRENUD002","XRENUD003","XRENUD004","XRENUD005","XRENUD006","XRENUD007","XRENUD008","XRENUD009","XRENUD010","XRENUD011","XRENUD012","XRENUD013","XRENUD014","XRENUD015","XRENUD016","XRENUD017","XRENUD018","XRENUD019","XRENUD020","XRENUD021","XRENUD022","XRENUD023","XRENUD024","XRENUD025","XRENUD026","XRENUD027","XRENUD028","XRENUD029","XRENUD030"
"60","601-AP94-180300006","3092","2018","3","AP","01","601-AP01-180200145","60","0","2018/2/28","100249","100249","ZZ","","","","B05","377","M17ZX080","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","82.010000","0.000000","82.010000","82.010000","0.000000","82.010000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","570","2018","3","AP","01","601-AP01-180100101","5","0","2018/1/31","100469","100469","CG","","","","T01","359","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","243.590000","0.000000","243.590000","243.590000","0.000000","243.590000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","571","2018","3","AP","01","601-AP01-180100101","6","0","2018/1/31","100469","100469","CG","","","","T01","359","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","2495.730000","0.000000","2495.730000","2495.730000","0.000000","2495.730000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","572","2018","3","AP","01","601-AP01-170500171","1","0","2017/5/31","100529","100529","CG","","","","B09","359","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","724.370000","0.000000","724.370000","724.370000","0.000000","724.370000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","573","2018","3","AP","01","601-AP01-170500171","2","0","2017/5/31","100529","100529","CG","","","","B09","359","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","337.610000","0.000000","337.610000","337.610000","0.000000","337.610000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","574","2018","3","AP","01","601-AP01-170500055","1","0","2017/5/31","100564","100564","CG","","","","F01","2529","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","844.650000","0.000000","844.650000","844.650000","0.000000","844.650000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","575","2018","3","AP","01","601-AP01-170500055","2","0","2017/5/31","100564","100564","CG","","","","F01","2529","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","174.760000","0.000000","174.760000","174.760000","0.000000","174.760000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","576","2018","3","AP","01","601-AP01-170500055","3","0","2017/5/31","100564","100564","CG","","","","F01","2529","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","640.780000","0.000000","640.780000","640.780000","0.000000","640.780000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","577","2018","3","AP","01","601-AP01-171000087","1","0","2017/10/31","100453","100453","CG","","","","B10","359","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","256.410000","0.000000","256.410000","256.410000","0.000000","256.410000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","578","2018","3","AP","01","601-AP01-171000087","5","0","2017/10/31","100453","100453","CG","","","","B10","359","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","256.410000","0.000000","256.410000","256.410000","0.000000","256.410000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","579","2018","3","AP","01","601-AP01-171000087","6","0","2017/10/31","100453","100453","CG","","","","B10","359","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","25.640000","0.000000","25.640000","25.640000","0.000000","25.640000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","580","2018","3","AP","01","601-AP01-171000101","1","0","2017/10/31","100953","100953","CG","","","","F01","2529","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","598.290000","0.000000","598.290000","598.290000","0.000000","598.290000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","581","2018","3","AP","01","601-AP01-171000103","1","0","2017/10/31","101437","101437","CG","","","","B10","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","871.790000","0.000000","871.790000","871.790000","0.000000","871.790000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","582","2018","3","AP","01","601-AP01-171000103","2","0","2017/10/31","101437","101437","CG","","","","B10","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","1658.120000","0.000000","1658.120000","1658.120000","0.000000","1658.120000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","583","2018","3","AP","01","601-AP01-171000103","3","0","2017/10/31","101437","101437","CG","","","","B10","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","2487.180000","0.000000","2487.180000","2487.180000","0.000000","2487.180000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","584","2018","3","AP","01","601-AP01-180100116","1","0","2018/1/31","101537","101537","CG","","","","B10","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","22948.720000","0.000000","22948.720000","22948.720000","0.000000","22948.720000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","585","2018","3","AP","01","601-AP01-180100116","2","0","2018/1/31","101537","101537","CG","","","","B10","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","2326.500000","0.000000","2326.500000","2326.500000","0.000000","2326.500000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","586","2018","3","AP","01","601-AP01-180100116","3","0","2018/1/31","101537","101537","CG","","","","B10","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","13340.170000","0.000000","13340.170000","13340.170000","0.000000","13340.170000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
