"XMDKENT","XMDKSITE","XMDKUNIT","XMDKDOCNO","XMDKDOCDT","XMDK000","XMDK001","XMDK002","XMDK003","XMDK004","XMDK005","XMDK006","XMDK007","XMDK008","XMDK009","XMDK010","XMDK011","XMDK012","XMDK013","XMDK014","XMDK015","XMDK016","XMDK017","XMDK018","XMDK019","XMDK020","XMDK021","XMDK022","XMDK023","XMDK024","XMDK025","XMDK026","XMDK027","XMDK028","XMDK029","XMDK030","XMDK031","XMDK032","XMDK033","XMDK034","XMDK035","XMDK036","XMDK037","XMDK038","XMDK039","XMDK040","XMDK041","XMDK042","XMDK043","XMDK044","XMDK045","XMDK051","XMDK052","XMDK053","XMDK054","XMDK055","XMDK081","XMDK082","XMDK083","XMDK084","XMDK200","XMDK201","XMDK202","XMDK203","XMDK204","XMDK205","XMDK206","XMDK207","XMDK208","XMDK209","XMDK210","XMDK211","XMDK212","XMDK213","XMDK214","XMDKOWNID","XMDKOWNDP","XMDKCRTID","XMDKCRTDP","XMDKCRTDT","XMDKMODID","XMDKMODDT","XMDKCNFID","XMDKCNFDT","XMDKPSTID","XMDKPSTDT","XMDKSTUS","XMDKUD001","XMDKUD002","XMDKUD003","XMDKUD004","XMDKUD005","XMDKUD006","XMDKUD007","XMDKUD008","XMDKUD009","XMDKUD010","XMDKUD011","XMDKUD012","XMDKUD013","XMDKUD014","XMDKUD015","XMDKUD016","XMDKUD017","XMDKUD018","XMDKUD019","XMDKUD020","XMDKUD021","XMDKUD022","XMDKUD023","XMDKUD024","XMDKUD025","XMDKUD026","XMDKUD027","XMDKUD028","XMDKUD029","XMDKUD030","XMDK085","XMDK086","XMDK046","XMDK087","XMDK047","XMDK088","XMDK089","XMDLENT","XMDLSITE","XMDLDOCNO","XMDLSEQ","XMDL001","XMDL002","XMDL003","XMDL004","XMDL005","XMDL006","XMDL007","XMDL008","XMDL009","XMDL010","XMDL011","XMDL012","XMDL013","XMDL014","XMDL015","XMDL016","XMDL017","XMDL018","XMDL019","XMDL020","XMDL021","XMDL022","XMDL023","XMDL024","XMDL025","XMDL026","XMDL027","XMDL028","XMDL029","XMDL030","XMDL031","XMDL032","XMDL033","XMDL034","XMDL035","XMDL036","XMDL037","XMDL038","XMDL039","XMDL040","XMDL041","XMDL042","XMDL043","XMDL044","XMDL045","XMDL046","XMDL047","XMDL048","XMDL049","XMDL050","XMDL051","XMDL052","XMDL053","XMDL054","XMDL055","XMDL081","XMDL082","XMDL083","XMDL084","XMDL085","XMDL086","XMDL087","XMDL088","XMDL089","XMDL090","XMDL091","XMDL092","XMDL093","XMDL200","XMDL201","XMDL202","XMDL203","XMDL204","XMDL205","XMDL206","XMDL207","XMDL208","XMDL209","XMDL210","XMDL211","XMDL212","XMDL213","XMDL214","XMDL215","XMDL216","XMDL217","XMDL218","XMDL219","XMDL220","XMDL222","XMDL223","XMDL224","XMDL225","XMDL226","XMDLUNIT","XMDLORGA","XMDLUD001","XMDLUD002","XMDLUD003","XMDLUD004","XMDLUD005","XMDLUD006","XMDLUD007","XMDLUD008","XMDLUD009","XMDLUD010","XMDLUD011","XMDLUD012","XMDLUD013","XMDLUD014","XMDLUD015","XMDLUD016","XMDLUD017","XMDLUD018","XMDLUD019","XMDLUD020","XMDLUD021","XMDLUD022","XMDLUD023","XMDLUD024","XMDLUD025","XMDLUD026","XMDLUD027","XMDLUD028","XMDLUD029","XMDLUD030","XMDL056","XMDL094","XMDL095","XMDL227","XMDL228","XMDL057","XMDL058","XMDL096","XMDL059","XMDL060","XMDL097","XMDL098"
"60","MN60-1","","601-XMD1-170300004","25-3月-17","6","25-3月-17","","318","SC","","","100010","100010","100010","1018","5","002","17.00","Y","02","CNY","1.0000000000","QJ001","","","","","","","","","","","","","001","","","","","","","","","","","1","5","","1","180369.110000","211031.860000","30662.750000","","","","5","N","1","","","100010","","","","","","","","","","","0.000000","","318","SC","318","SC","25-3月 -17 03.19.50 下午","00000","31-3月 -17 05.53.27 下午","00000","31-3月 -17 05.53.23 下午","00000","31-3月 -17 05.53.27 下午","S","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","1","","1","N","","","","60","MN60-1","601-XMD1-170300004","3","","","","","","","1","810017"," ","","","","N","KZ1"," "," ","PCS","2.000000","","0.000000","PCS","2.000000","N","1680.084900","002","17.00","2871.940000","3360.170000","488.230000","ZJ00002","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","","","0.000000","","0.000000","","","XT001",""," ","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","0.000000","","","","","","0.000000","0.000000","","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","0.000000","","","","0","","","0","0.000000","","","0"
"60","MN60-1","","601-XMD1-170600006","23-6月-17","6","11-9月-17","","659","SC","","","100010","100010","100010","1001","5","002","17.00","Y","02","CNY","1.0000000000","QJ001","","","","","","","","","","","","C01","001","","","","","","","","","","","1","5","","1","109316.900000","127900.770000","18583.870000","6/15退回我司","","","5","N","1","","","100010","","","","","","","","","","","0.000000","","659","SC","659","SC","23-6月 -17 03.00.00 下午","380","11-9月 -17 08.09.35 上午","107","03-7月 -17 11.48.08 上午","380","11-9月 -17 08.09.35 上午","S","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","1","","1","N","","","","60","MN60-1","601-XMD1-170600006","1","","","","","","","1","810017"," ","","","","N","KJ004"," "," ","PCS","49.000000","","","PCS","49.000000","N","1654.251300","002","17.00","69280.610000","81058.310000","11777.700000","ZJ00002","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","X","","","0.000000","","0.000000","","","XT001",""," ","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","Y","","","","","0.000000","0.000000","","","","","","0.000000","0.000000","","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","0.000000","","","","0","","","0","0.000000","","","0"
"60","MN60-1","","601-XMD1-170600006","23-6月-17","6","11-9月-17","","659","SC","","","100010","100010","100010","1001","5","002","17.00","Y","02","CNY","1.0000000000","QJ001","","","","","","","","","","","","C01","001","","","","","","","","","","","1","5","","1","109316.900000","127900.770000","18583.870000","6/15退回我司","","","5","N","1","","","100010","","","","","","","","","","","0.000000","","659","SC","659","SC","23-6月 -17 03.00.00 下午","380","11-9月 -17 08.09.35 上午","107","03-7月 -17 11.48.08 上午","380","11-9月 -17 08.09.35 上午","S","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","1","","1","N","","","","60","MN60-1","601-XMD1-170600006","2","","","","","","","1","810060"," ","","","","N","KJ004"," "," ","PCS","15.000000","","","PCS","15.000000","N","1329.903900","002","17.00","17050.050000","19948.560000","2898.510000","ZJ00003","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","X","","","0.000000","","0.000000","","","XT001",""," ","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","Y","","","","","0.000000","0.000000","","","","","","0.000000","0.000000","","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","0.000000","","","","0","","","0","0.000000","","","0"
"60","MN60-1","","601-XMD1-170600006","23-6月-17","6","11-9月-17","","659","SC","","","100010","100010","100010","1001","5","002","17.00","Y","02","CNY","1.0000000000","QJ001","","","","","","","","","","","","C01","001","","","","","","","","","","","1","5","","1","109316.900000","127900.770000","18583.870000","6/15退回我司","","","5","N","1","","","100010","","","","","","","","","","","0.000000","","659","SC","659","SC","23-6月 -17 03.00.00 下午","380","11-9月 -17 08.09.35 上午","107","03-7月 -17 11.48.08 上午","380","11-9月 -17 08.09.35 上午","S","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","1","","1","N","","","","60","MN60-1","601-XMD1-170600006","3","","","","","","","1","810057"," ","","","","N","KJ004"," "," ","PCS","48.000000","","","PCS","48.000000","N","560.289600","002","17.00","22986.240000","26893.900000","3907.660000","ZJ00001","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","X","","","0.000000","","0.000000","","","XT001",""," ","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","Y","","","","","0.000000","0.000000","","","","","","0.000000","0.000000","","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","0.000000","","","","0","","","0","0.000000","","","0"
"60","MN60-1","","601-XMD1-170300004","25-3月-17","6","25-3月-17","","318","SC","","","100010","100010","100010","1018","5","002","17.00","Y","02","CNY","1.0000000000","QJ001","","","","","","","","","","","","","001","","","","","","","","","","","1","5","","1","180369.110000","211031.860000","30662.750000","","","","5","N","1","","","100010","","","","","","","","","","","0.000000","","318","SC","318","SC","25-3月 -17 03.19.50 下午","00000","31-3月 -17 05.53.27 下午","00000","31-3月 -17 05.53.23 下午","00000","31-3月 -17 05.53.27 下午","S","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","1","","1","N","","","","60","MN60-1","601-XMD1-170300004","5","","","","","","","1","810017"," ","","","","N","KZ1"," "," ","PCS","54.000000","","0.000000","PCS","54.000000","N","1680.084900","002","17.00","77542.380000","90724.580000","13182.200000","ZJ00002","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","","","0.000000","","0.000000","","","XT001",""," ","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","0.000000","","","","","","0.000000","0.000000","","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","0.000000","","","","0","","","0","0.000000","","","0"
"60","MN60-1","","601-XMD1-170600007","28-6月-17","6","11-9月-17","","659","SC","","","100836","100836","100836","1001","5","002","17.00","Y","02","CNY","1.0000000000","QJ004","","","","","","","","","","","","","001","","","","","","","","","","","1","5","","1","868.960000","1016.680000","147.720000","6/27 PG带回我司2件","","","5","N","1","","","100836","","","","","","","","","","","0.000000","","659","SC","659","SC","28-6月 -17 09.02.36 上午","380","11-9月 -17 08.09.50 上午","107","03-7月 -17 11.48.25 上午","380","11-9月 -17 08.09.50 上午","S","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","1","","1","N","","","","60","MN60-1","601-XMD1-170600007","1","","","","","","","1","810046"," ","","","","N","KJ004"," "," ","PCS","2.000000","","","PCS","2.000000","N","508.341600","002","17.00","868.960000","1016.680000","147.720000","ZJ00043","","","FK40","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","","","0.000000","","0.000000","","","XT001",""," ","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","Y","","","","","0.000000","0.000000","","","","","","0.000000","0.000000","","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","0.000000","","","","0","","","0","0.000000","","","0"
"60","MN60-1","","601-XMD1-170500013","27-5月-17","6","11-9月-17","","659","SC","","","100010","100010","100010","1001","5","002","17.00","Y","02","CNY","1.0000000000","QJ001","","","","","","","","","","","","C01","001","","","","","","","","","","","1","5","","1","2273.340000","2659.810000","386.470000","5/9退回我司（严文学知道具体件号）","","","5","N","1","","","100010","","","","","","","","","","","0.000000","","659","SC","659","SC","27-5月 -17 04.09.33 下午","380","11-9月 -17 08.08.33 上午","107","03-7月 -17 11.46.37 上午","380","11-9月 -17 08.08.33 上午","S","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","1","","1","N","","","","60","MN60-1","601-XMD1-170500013","1","","","","","","","1","810060"," ","","","","N","KJ004"," "," ","PCS","2.000000","","","PCS","2.000000","N","1329.903900","002","17.00","2273.340000","2659.810000","386.470000","ZJ00003","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","X","","","0.000000","","0.000000","","","XT001",""," ","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","Y","","","","","0.000000","0.000000","","","","","","0.000000","0.000000","","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","0.000000","","","","0","","","0","0.000000","","","0"
"60","MN60-1","","601-XMD1-170300004","25-3月-17","6","25-3月-17","","318","SC","","","100010","100010","100010","1018","5","002","17.00","Y","02","CNY","1.0000000000","QJ001","","","","","","","","","","","","","001","","","","","","","","","","","1","5","","1","180369.110000","211031.860000","30662.750000","","","","5","N","1","","","100010","","","","","","","","","","","0.000000","","318","SC","318","SC","25-3月 -17 03.19.50 下午","00000","31-3月 -17 05.53.27 下午","00000","31-3月 -17 05.53.23 下午","00000","31-3月 -17 05.53.27 下午","S","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","1","","1","N","","","","60","MN60-1","601-XMD1-170300004","9","","","","","","","1","810060"," ","","","","N","KZ1"," "," ","PCS","39.000000","","0.000000","PCS","39.000000","N","1350.437400","002","17.00","45014.580000","52667.060000","7652.480000","ZJ00003","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","","","0.000000","","0.000000","","","XT001",""," ","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","0.000000","","","","","","0.000000","0.000000","","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","0.000000","","","","0","","","0","0.000000","","","0"
"60","MN60-1","","601-XMD1-170300004","25-3月-17","6","25-3月-17","","318","SC","","","100010","100010","100010","1018","5","002","17.00","Y","02","CNY","1.0000000000","QJ001","","","","","","","","","","","","","001","","","","","","","","","","","1","5","","1","180369.110000","211031.860000","30662.750000","","","","5","N","1","","","100010","","","","","","","","","","","0.000000","","318","SC","318","SC","25-3月 -17 03.19.50 下午","00000","31-3月 -17 05.53.27 下午","00000","31-3月 -17 05.53.23 下午","00000","31-3月 -17 05.53.27 下午","S","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","1","","1","N","","","","60","MN60-1","601-XMD1-170300004","10","","","","","","","1","810057"," ","","","","N","KZ1"," "," ","PCS","113.000000","","0.000000","PCS","113.000000","N","568.850000","002","17.00","54940.210000","64280.050000","9339.840000","ZJ00001","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","","","0.000000","","0.000000","","","XT001",""," ","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","0.000000","","","","","","0.000000","0.000000","","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","0.000000","","","","0","","","0","0.000000","","","0"
"60","MN60-1","","601-XMD1-171000003","23-10月-17","6","01-11月-17","","3326","SC","","","100961","100961","100961","1001","5","002","17.00","Y","02","CNY","1.0000000000","QJ001","","","","","","","","","","","","","001","","","","","","","","","","","1","5","","1","0.000000","0.000000","0.000000","","","","5","N","1","","","100961","","","","","","","","","","","0.000000","","3326","SC","3326","SC","23-10月-17 11.21.10 上午","498","09-11月-17 04.34.56 下午","107","27-10月-17 12.14.45 下午","498","09-11月-17 04.34.56 下午","S","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","1","","1","N","","","","60","MN60-1","601-XMD1-171000003","1","","","","","","","1","810069"," ","","","","N","KJ004"," "," ","PCS","55.000000","","","PCS","55.000000","N","0.000000","002","17.00","0.000000","0.000000","0.000000","ZJ00067","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","","","0.000000","","0.000000","","","XT001",""," ","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","Y","","","","","0.000000","0.000000","","","","","","0.000000","0.000000","","0.000000","0.000000","0.000000","0.000000","","","","","","","","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","0.000000","","","","0","","","0","0.000000","","","0"
