"XCKB005","XCKB012","IMA01","IMA02","NUM","XCKB007","XCKB008","A"
"601-XM96-170500008","810019","810019","克诺尔阀体;C82961","312.000","2017","5","9"
"601-XM96-170500009","810019","810019","克诺尔阀体;C82961","312.000","2017","5","9"
"601-XM96-170500010","810019","810019","克诺尔阀体;C82961","312.000","2017","5","5"
"601-XM96-170500003","810020","810020","机体;KN SOB89078","500.000","2017","5","15"
"601-XM96-170500004","810020","810020","机体;KN SOB89078","500.000","2017","5","11"
"601-XM96-170500012","810020","810020","机体;KN SOB89078","500.000","2017","5","22"
"601-XM96-170500005","810021","810021","机体盖;KN SB89063","622.000","2017","5","7"
"601-XM96-170500006","810021","810021","机体盖;KN SB89063","622.000","2017","5","5"
"601-XM96-170500013","810021","810021","机体盖;KN SB89063","622.000","2017","5","4"
"601-XM96-170500011","810022","810022","蜗牛壳;KN SB90690","242.000","2017","5","3"
"601-XM96-170500007","810023","810023","花篮;KN SB90692","149.000","2017","5","1"
"601-XM96-170500013","810023","810023","花篮;KN SB90692","149.000","2017","5","5"
"601-XM96-170500008","810024","810024","连接座;KN RC66218","0.000","2017","5","3"
"601-XM96-170500010","810024","810024","连接座;KN RC66218","0.000","2017","5","4"
"601-XM96-170500002","810034","810034","主箱体;1310 201 037","412.000","2017","5","1"
"601-XM96-170500001","810046","810046","615压缩机缸体;0.0472-00615.0","0.000","2017","5","70"
"601-XM96-170500001","810046","810046","615压缩机缸体;0.0472-00615.0","624.000","2017","5","70"
